#{"t_start": 1677585839.9618278, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
44,50,39.36104,0.06,0.13572847802432117,0.13476190476190475,"(0.06,)",0.0,0.0,0.13476190476190475,0.06,0.5067497403946002,488,475,2,1,3,3,47,28,0.19207540365066036,0.2535219058458879
46,50,39.702849,0.04,0.1346760252038127,0.13364705882352942,"(0.04,)",0.0,0.0,0.13364705882352942,0.04,0.5067497403946002,488,475,2,1,5,5,78,23,0.19163431997083624,0.25308344111282693
50,50,40.029316,0.0,0.13311621010407348,0.13209302325581396,"(0.0,)",0.0,0.0,0.13209302325581396,0.0,0.39159109645507006,475,738,1,2,3,4,0,0,0.20478760700267437,0.19831027412999408
46,50,40.377986,0.04,0.1321037570386781,0.1310344827586207,"(0.04,)",0.0,0.0,0.1310344827586207,0.04,0.15254237288135594,225,1250,1,2,3,3,0,38,0.20707875307495996,0.2099544756088675
44,50,40.704021,0.06,0.13115759388670994,0.13022727272727272,"(0.06,)",0.0,0.0,0.13022727272727272,0.06,0.5380200860832138,1500,1288,3,2,8,8,22,112,0.2292465661316914,0.2100516521678506
50,50,41.06503,0.0,0.12967159870083003,0.12876404494382024,"(0.0,)",0.0,0.0,0.12876404494382024,0.0,0.5161290322580646,1200,1125,2,2,6,6,91,9,0.20079561481673586,0.2301945737125383
48,50,41.390551,0.02,0.12853824498053587,0.12755555555555556,"(0.02,)",0.0,0.0,0.12755555555555556,0.02,0.49230769230769234,800,825,2,2,6,6,103,85,0.23624914118419227,0.1877138861017874
38,50,41.728631,0.12,0.1284264997936428,0.12747252747252746,"(0.12,)",0.0,0.0,0.12747252747252746,0.12,0.5380200860832138,1500,1288,3,2,7,7,22,93,0.22817185002573867,0.20928841559131128
46,50,42.059857,0.04,0.12751309092304525,0.1265217391304348,"(0.04,)",0.0,0.0,0.1265217391304348,0.04,0.4341046277665996,863,1125,2,2,4,4,13,16,0.14478496606408245,0.15525945023975046
50,50,42.41521,0.0,0.12608574168489173,0.12516129032258064,"(0.0,)",0.0,0.0,0.12516129032258064,0.0,0.26,325,925,1,2,3,4,0,95,0.13253642230507812,0.13651954476040173
40,50,42.764184,0.1,0.1255926152921634,0.12489361702127659,"(0.1,)",0.0,0.0,0.12489361702127659,0.1,0.4341046277665996,863,1125,2,2,7,7,51,107,0.14561308849714472,0.15430217330175466
46,50,43.113549,0.04,0.12465972359345387,0.124,"(0.04,)",0.0,0.0,0.124,0.04,0.17559769167353667,213,1000,1,2,5,7,4,62,0.17208170124442473,0.2140660734653489
46,50,43.452128,0.04,0.12384849365106394,0.123125,"(0.04,)",0.0,0.0,0.123125,0.04,0.45945945945945943,850,1000,2,2,6,6,40,8,0.23071815712162996,0.16437705587644486
48,50,43.804082,0.02,0.12272556797811192,0.1220618556701031,"(0.02,)",0.0,0.0,0.1220618556701031,0.02,0.42000000000000004,525,725,1,2,5,6,13,55,0.1278088468991697,0.1390664602847269
44,50,44.129995,0.06,0.1221097616202174,0.12142857142857143,"(0.06,)",0.0,0.0,0.12142857142857143,0.06,0.46043165467625896,1088,1275,2,2,4,5,131,186,0.22518155515486196,0.23894934939252832
44,50,44.482578,0.06,0.12152669877770872,0.12080808080808081,"(0.06,)",0.0,0.0,0.12080808080808081,0.06,0.598573611818645,1175,788,2,2,4,4,17,20,0.17370818401547633,0.1771505807716655
46,50,44.811747,0.04,0.12062965075661922,0.12,"(0.04,)",0.0,0.0,0.12,0.04,0.5485036119711042,1063,875,2,2,5,5,77,66,0.206617512444763,0.17518240779923325
48,50,45.154833,0.02,0.11966540994574644,0.119009900990099,"(0.02,)",0.0,0.0,0.119009900990099,0.02,0.2280701754385965,325,1100,1,2,5,7,0,37,0.2301279434604556,0.16879765035943378
46,50,45.48962,0.04,0.11885016830787781,0.11823529411764706,"(0.04,)",0.0,0.0,0.11823529411764706,0.04,0.4328112118713932,525,688,1,2,3,3,0,25,0.2273348596754016,0.18775675702276096
48,50,45.839111,0.02,0.11800550223450473,0.11728155339805825,"(0.02,)",0.0,0.0,0.11728155339805825,0.02,0.8285714285714285,1450,300,2,1,6,4,113,0,0.175102347947502,0.15887644212850172
48,50,46.179368,0.02,0.11722364087191443,0.11634615384615385,"(0.02,)",0.0,0.0,0.11634615384615385,0.02,0.4392721117223868,1038,1325,2,2,3,4,3,45,0.23826033471989333,0.22968636599690245
50,50,46.53836,0.0,0.11605982836824645,0.11523809523809524,"(0.0,)",0.0,0.0,0.11523809523809524,0.0,0.5514018691588785,1475,1200,2,3,6,5,23,79,0.18730002367628562,0.1940929070364891
48,50,46.895738,0.02,0.11511401370250185,0.11433962264150943,"(0.02,)",0.0,0.0,0.11433962264150943,0.02,0.46043165467625896,1088,1275,2,2,6,8,104,18,0.2270142678579536,0.2405009458986752
42,50,47.246447,0.08,0.11473401738276219,0.11401869158878504,"(0.08,)",0.0,0.0,0.11401869158878504,0.08,0.6666666666666666,550,275,2,1,3,3,4,19,0.22344218714755593,0.12930915606781013
48,50,47.618949,0.02,0.11390669312196794,0.11314814814814815,"(0.02,)",0.0,0.0,0.11314814814814815,0.02,0.46043165467625896,1088,1275,2,2,7,9,85,12,0.22631061113960005,0.24028326990589285
48,50,47.984171,0.02,0.11314660877852491,0.11229357798165138,"(0.02,)",0.0,0.0,0.11229357798165138,0.02,0.39159109645507006,475,738,1,2,3,4,4,49,0.20049950843828143,0.20104546531235673
50,50,48.329376,0.0,0.11205903302254377,0.11127272727272727,"(0.0,)",0.0,0.0,0.11127272727272727,0.0,0.4341046277665996,863,1125,2,2,7,7,79,55,0.14262215181950805,0.15356941904592536
